full_name,a,e,i,H,diameter,albedo,class,first_obs
247890 (2003 UY216),3.182,0.0267,10.39,15.59,4.376,0.077,MBA,2003-09-20
469131 (2015 EU23),2.909,0.0771,12.8,16.24,4.905,0.097,MBA,1995-02-21
 45451 (2000 AJ191),2.599,0.2176,11.61,14.61,6.895,0.112,MBA,1986-10-03
242391 (2004 EY107),2.568,0.1438,8.68,17.3,2.682,0.032,MBA,2000-03-03
447183 (2005 SN85),2.878,0.2054,6.21,17.46,2.493,0.026,MBA,2000-08-25
127312 (2002 JC91),3.468,0.0401,5.52,14.39,7.358,0.075,OMB,1998-10-24
 88281 (2001 MV18),2.278,0.1876,8.69,16.22,3.138,0.065,MBA,1984-10-17
260473 (2005 BH28),3.21,0.1088,23.82,14.9,7.335,0.047,OMB,2005-01-13
 60757 (2000 GK107),2.165,0.1703,5.2,15.27,2.491,0.197,MBA,1998-12-14
222599 (2001 XZ14),2.642,0.1468,12.37,15.66,4.793,0.058,MBA,2001-11-12
425321 (2010 AN33),2.677,0.0876,13.88,16.66,2.881,0.041,MBA,2000-12-17
 35015 (1981 EO6),2.627,0.1683,7.78,15.39,2.36,0.348,MBA,1981-02-09
  7700 Rote Kapelle (1990 TE8),2.678,0.0759,3.03,13.66,3.021,0.77,MBA,1989-07-29
 83017 (2001 QT170),2.783,0.0135,4.43,15.34,5.778,0.03,MBA,1999-02-12
340347 (2006 DJ67),2.646,0.1364,12.33,16.0,3.646,0.064,MBA,2002-05-04
105193 (2000 OY37),3.138,0.2612,14.93,14.84,5.967,0.095,MBA,2000-07-10
446754 (2015 PY8),2.289,0.2217,10.1,17.15,1.911,0.064,MBA,1998-11-26
332535 (2008 PJ2),2.551,0.2274,2.93,16.85,2.918,0.052,MBA,2000-08-31
 59848 (1999 RT73),2.673,0.1598,7.32,15.52,3.716,0.097,MBA,1998-03-20
128988 (2004 TR211),2.245,0.0986,6.52,16.09,2.551,0.142,MBA,1960-09-24
179566 (2002 EN63),3.16,0.1071,10.39,15.21,6.035,0.053,MBA,1997-05-01
 51138 (2000 HC45),2.981,0.1056,10.57,14.06,6.089,0.131,MBA,1997-11-29
  2022 West (1938 CK),2.707,0.1165,5.65,11.9,12.634,0.175,MBA,1938-02-07
  2362 Mark Twain (1976 SH2),2.196,0.1927,3.95,13.58,4.331,0.312,MBA,1950-09-12
 41414 (2000 AC215),2.939,0.1203,8.62,14.55,4.398,0.191,MBA,1992-05-07
204167 (2004 BP31),3.078,0.0919,4.67,15.61,4.921,0.055,MBA,1991-10-01
112985 (2002 RS28),2.22,0.4923,46.99,15.8,3.618,0.033,AMO,1985-05-10
 94218 (2001 BK45),3.191,0.1337,27.07,13.76,10.155,0.075,MBA,2000-01-27
 73313 (2002 JR78),2.551,0.1163,5.9,15.96,2.314,0.208,MBA,1994-05-03
 30536 Erondon (2001 OJ7),2.779,0.1689,7.99,13.82,4.956,0.314,MBA,1977-07-10
 93173 (2000 SQ101),2.433,0.1761,7.47,16.21,3.3,0.066,MBA,1998-03-03
  8030 Williamknight (1991 SK),3.234,0.0662,7.2,12.1,20.579,0.049,OMB,1980-10-10
150581 (2000 UE68),3.022,0.0545,9.81,14.85,4.124,0.125,MBA,2000-10-25
 61569 (2000 QL77),2.394,0.1231,1.36,16.26,3.269,0.072,MBA,1996-07-23
  1191 Alfaterna (1931 CA),2.891,0.0484,18.46,10.81,47.397,0.045,MBA,1931-02-09
142791 (2002 UQ19),2.617,0.2274,4.94,16.22,3.713,0.049,MBA,1997-07-31
       (2014 US),2.619,0.5889,27.04,19.18,0.556,0.186,AMO,2014-10-08
247673 (2002 YS14),3.058,0.1635,23.19,15.5,6.141,0.039,MBA,2002-12-31
       (2010 LF53),3.176,0.1718,27.88,16.77,2.928,0.09,MBA,2010-06-08
200086 (1992 QS2),2.985,0.1808,8.15,16.05,4.405,0.048,MBA,1992-08-25
240397 (2003 UB102),2.918,0.1671,10.28,16.04,3.723,0.056,MBA,1998-09-25
  5980 (1993 FP2),2.253,0.151,3.77,13.92,4.202,0.363,MBA,1930-10-16
 24523 Sanaraoof (2001 CV3),2.315,0.1133,4.62,15.33,2.55,0.272,MBA,1994-02-07
 15502 (1999 NV27),5.119,0.0155,16.83,10.15,53.1,0.069,TJN,1982-01-30
155702 (2000 QJ69),2.571,0.0989,12.5,15.62,2.061,0.315,MBA,2000-07-07
188068 (2001 WL47),2.541,0.1954,11.27,16.81,1.844,0.099,MBA,2001-10-14
 23262 Thiagoolson (2000 YW44),2.41,0.0426,6.1,15.23,2.975,0.24,MBA,1994-02-13
235458 (2003 YZ156),2.974,0.1271,6.8,16.13,4.398,0.04,MBA,2002-08-05
148168 (1999 XH252),2.264,0.1841,3.41,16.66,1.558,0.2,MBA,1999-12-03
       (2016 VK6),1.341,0.2486,7.74,22.45,0.194,0.036,APO,2014-02-10
 27452 Nikhilpatel (2000 GS25),3.062,0.1779,1.34,14.41,7.565,0.059,MBA,1991-10-01
112782 (2002 PU160),2.731,0.0553,4.58,15.86,4.051,0.068,MBA,1998-10-01
 30395 (2000 KQ36),2.805,0.123,15.03,14.36,7.172,0.095,MBA,1985-02-14
267164 (2000 HT42),3.191,0.2424,25.92,15.68,4.532,0.065,MBA,2000-04-06
254184 (2004 RH21),3.102,0.1361,16.28,15.47,5.239,0.054,MBA,1999-10-14
143087 (2002 XP9),2.57,0.1511,6.73,15.88,2.282,0.214,MBA,1998-12-15
 70853 (1999 VN114),2.567,0.1002,8.45,15.34,3.057,0.143,MBA,1999-10-05
 94165 (2001 AP21),2.66,0.2066,2.9,15.34,4.692,0.08,MBA,1995-09-19
 15622 Westrich (2000 HY20),2.254,0.0635,3.69,15.24,2.406,0.335,MBA,1993-03-20
 76276 (2000 EQ114),3.103,0.1111,9.84,14.49,5.052,0.174,MBA,1998-11-16
 89067 (2001 TE148),2.738,0.0236,6.12,15.84,3.801,0.059,MBA,1992-10-02
 20853 Yunxiangchu (2000 VQ13),2.523,0.1022,4.14,15.61,2.414,0.191,MBA,1992-11-18
182544 (2001 TF64),2.803,0.1918,1.5,16.4,2.68,0.081,MBA,2001-10-11
131388 (2001 KQ52),2.69,0.0645,29.65,14.95,5.749,0.085,MBA,1998-09-27
  1292 Luce (1933 SH),2.542,0.0567,2.15,11.39,13.899,0.26,MBA,1905-11-02
229154 (2004 SG49),2.771,0.1135,15.87,15.71,2.955,0.14,MBA,2004-09-07
346029 (2007 TA365),2.689,0.217,26.69,16.41,3.574,0.055,MBA,1994-09-14
 37284 (2000 YG76),3.068,0.1307,11.71,13.81,6.294,0.135,MBA,1995-11-15
 20226 (1997 NG6),2.993,0.0668,11.69,13.23,8.491,0.155,MBA,1997-07-11
518944 (2010 GH166),2.539,0.0772,16.55,16.99,3.256,0.08,MBA,2010-04-02
 45378 (2000 AD118),3.166,0.0512,8.3,13.05,14.845,0.067,MBA,1991-06-16
171927 (2001 SW145),3.085,0.1746,4.73,15.67,5.262,0.048,MBA,2001-08-26
247350 (2001 VP49),2.786,0.1888,7.28,15.85,4.527,0.06,MBA,1994-03-07
 96514 (1998 QC84),3.065,0.2785,12.63,14.37,4.115,0.262,MBA,1998-06-23
  1899 Crommelin (1971 UR1),2.265,0.1063,7.28,13.17,5.332,0.122,MBA,1949-03-31
231504 (2008 RZ14),3.002,0.1302,8.32,16.4,3.704,0.043,MBA,2003-10-18
 23979 (1999 JL82),2.584,0.2214,13.84,13.72,4.899,0.293,MBA,1990-01-26
 23687 (1997 JA11),3.159,0.2982,14.95,13.09,12.126,0.024,MBA,1991-05-05
 26982 (1997 UY21),2.935,0.2719,11.62,13.39,6.368,0.251,MBA,1996-07-14
 40690 (1999 RV225),2.721,0.0959,3.41,15.34,2.822,0.14,MBA,1993-03-19
 47617 (2000 BC27),2.603,0.2734,12.97,14.06,5.801,0.174,MBA,1998-06-25
 41347 (2000 AR22),3.061,0.1222,11.28,13.69,6.841,0.181,MBA,1998-09-28
 76672 (2000 HD56),3.544,0.1166,12.0,13.19,13.47,0.074,OMB,2000-04-10
  8818 Hermannbondi (1985 RW2),2.784,0.0832,1.78,14.06,9.448,0.062,MBA,1985-09-05
 30447 (2000 NO3),2.945,0.1152,3.59,14.04,4.99,0.195,MBA,1979-04-25
203873 (2002 XR41),3.089,0.0964,9.06,15.3,5.282,0.053,MBA,2001-08-25
 29063 (2369 T-3),2.296,0.0909,3.03,15.66,2.081,0.339,MBA,1977-10-07
105130 (2000 MJ2),3.207,0.1193,18.78,14.47,5.481,0.135,OMB,1999-02-12
355055 (2006 SO123),2.729,0.1678,10.09,16.64,2.414,0.145,MBA,2006-08-28
247016 (1999 WE12),2.965,0.111,9.86,15.91,2.611,0.136,MBA,1999-11-09
247977 (2004 BK104),3.123,0.1831,26.65,15.16,6.165,0.061,MBA,2002-09-26
 35042 (1981 EO36),2.436,0.2156,8.22,16.23,3.706,0.056,MBA,1981-02-14
 43159 (1999 XP121),2.91,0.0224,2.01,14.99,3.345,0.228,MBA,1996-02-15
314476 (2005 WC94),3.107,0.1776,2.67,16.18,2.656,0.12,MBA,1999-10-13
385156 (2013 TM92),2.65,0.1975,4.49,16.97,2.808,0.081,MBA,2000-10-01
 93895 (2000 WX141),2.542,0.2683,20.61,15.69,3.779,0.057,MBA,1992-11-20
 65263 (2002 GA16),2.297,0.1762,4.77,16.03,1.87,0.291,MBA,1991-02-05
182784 (2001 YX123),2.86,0.0435,12.88,15.3,5.51,0.077,MBA,2001-11-21
       (2010 PO20),2.668,0.1904,11.5,17.77,2.043,0.031,MBA,2010-08-04
145057 (2005 GM13),2.765,0.1671,12.39,15.45,2.188,0.307,MBA,2001-07-27
284650 (2007 XK1),3.116,0.0062,6.9,15.72,5.139,0.046,MBA,2001-10-14
121998 (2000 FS43),2.258,0.1215,4.81,16.74,1.274,0.329,MBA,2000-03-11
135812 (2002 RL169),2.65,0.182,1.34,16.56,2.558,0.081,MBA,1993-07-20
       (2010 HG9),2.615,0.1293,5.39,17.86,1.63,0.038,MBA,2010-04-17
241877 (2001 UJ137),3.107,0.1219,21.32,15.77,4.482,0.039,MBA,1999-03-20
 95823 (2003 FW82),2.281,0.0984,7.16,16.23,1.422,0.183,MBA,1999-01-18
 67933 (2000 WR127),2.415,0.198,6.76,15.03,3.266,0.207,MBA,1999-06-15
 35709 (1999 FR28),2.363,0.302,13.63,13.97,7.243,0.082,MCA,1988-04-09
 67045 (1999 XZ191),2.836,0.1691,6.53,15.05,6.406,0.057,MBA,1979-08-26
242390 (2004 EZ102),2.325,0.1329,6.11,17.68,1.699,0.056,MBA,2002-11-14
 32156 (2000 MY),2.363,0.0829,4.62,15.43,2.529,0.23,MBA,1992-03-02
       (2010 OL92),3.111,0.1286,18.59,15.81,3.239,0.074,MBA,1999-03-22
128190 (2003 SW6),3.149,0.1172,1.87,14.67,3.991,0.211,MBA,1995-02-24
335163 (2004 XZ102),2.771,0.1573,34.7,15.42,2.937,0.205,MBA,1995-11-18
508691 (2017 UC18),2.627,0.1581,12.4,17.06,2.277,0.065,MBA,2000-09-29
536970 (2015 FH402),2.704,0.199,12.72,16.95,2.804,0.098,MBA,2005-02-09
315135 (2007 EJ112),3.21,0.1317,9.61,16.0,4.681,0.042,OMB,1993-12-14
424474 (2008 CF193),2.341,0.2733,7.28,17.75,1.681,0.063,MBA,2004-01-18
146839 (2002 AK49),3.186,0.0664,12.16,14.99,6.904,0.049,MBA,2002-01-09
 39387 (4150 P-L),2.699,0.1919,11.97,15.21,5.955,0.055,MBA,1960-09-24
       (2010 KC54),3.146,0.2213,16.39,16.47,2.862,0.071,MBA,2010-01-08
 83810 (2001 TH233),2.959,0.1019,10.81,14.76,3.97,0.148,MBA,1998-01-31
250168 (2002 TF102),2.53,0.2422,6.79,16.89,2.173,0.094,MBA,1994-10-27
 74368 (1998 WG41),2.993,0.0678,12.08,15.01,3.552,0.185,MBA,1998-11-11
197323 (2003 WW149),3.138,0.1086,15.48,15.47,5.733,0.041,MBA,1998-01-08
       (2010 NY37),3.147,0.1379,27.25,16.72,3.104,0.038,MBA,2010-07-08
 74790 (1999 SP6),2.465,0.2641,12.09,16.11,2.001,0.19,MBA,1999-09-13
 26627 (2000 GC99),2.601,0.1741,13.71,14.47,6.757,0.081,MBA,1993-10-10
260213 (2004 RV205),3.138,0.142,16.52,15.49,5.741,0.049,MBA,1997-04-14
108674 (2001 OU4),2.755,0.1531,7.66,15.73,3.933,0.072,MBA,2001-07-16
 43569 (2001 FY142),2.739,0.1868,14.93,14.34,3.93,0.218,MBA,1990-12-19
372128 (2008 SA198),3.126,0.0675,15.91,16.62,4.332,0.026,MBA,2000-05-02
 72059 Heojun (2000 YC16),2.361,0.1324,10.72,15.9,2.155,0.151,MBA,1998-03-25
107792 (2001 FN53),2.618,0.2555,12.85,15.99,4.2,0.047,MBA,1998-09-14
  7316 Hajdu (3145 T-2),2.793,0.1195,4.82,14.35,5.422,0.181,MBA,1955-11-24
301687 (2010 FE86),3.134,0.3031,9.65,16.39,4.38,0.021,MBA,2000-08-31
 40996 (1999 UO5),2.64,0.1052,14.89,14.53,3.387,0.203,MBA,1997-01-10
 76250 (2000 EJ88),2.57,0.0816,12.22,14.93,2.882,0.307,MBA,1993-07-24
235058 (2003 FX98),2.362,0.2506,9.21,16.19,2.995,0.086,MBA,2003-03-26
388467 (2007 DZ76),2.323,0.1732,6.05,17.82,1.922,0.044,MBA,1993-04-14
 62905 (2000 UQ107),2.984,0.0564,11.83,14.72,5.229,0.112,MBA,1998-05-24
 10538 Torode (1991 VP2),2.155,0.1519,0.29,15.9,1.63,0.349,MBA,1989-01-02
339244 (2004 VX20),2.517,0.0947,8.08,16.68,3.55,0.039,MBA,1996-10-04
108910 (2001 PY10),3.256,0.0091,9.9,14.52,6.621,0.077,OMB,1999-03-06
 10044 Squyres (1985 RU),2.565,0.3343,16.44,13.58,4.613,0.362,MBA,1985-09-15
296786 (2009 UX153),5.157,0.1054,5.38,13.69,10.45,0.059,TJN,2000-12-28
 43004 (1999 UR16),2.784,0.0905,2.25,15.01,2.949,0.203,MBA,1994-10-09
 12345 (1993 FT8),2.45,0.1601,3.35,14.63,3.012,0.407,MBA,1993-03-17
171718 (2000 UQ69),2.234,0.124,3.3,16.62,1.35,0.293,MBA,2000-08-04
 64248 (2001 TZ164),3.025,0.0907,9.91,14.4,5.878,0.128,MBA,1998-01-25
242139 (2003 AW56),3.149,0.0678,16.74,15.43,4.72,0.066,MBA,2002-12-31
 12863 Whitfield (1998 KE48),2.268,0.0964,2.93,14.83,3.392,0.267,MBA,1977-02-19
 48142 (2001 FG151),3.136,0.1994,19.62,14.43,6.118,0.082,MBA,1995-02-03
418825 (2008 VQ79),2.913,0.0373,10.91,16.01,4.451,0.056,MBA,2002-07-21
 41755 (2000 VY31),2.553,0.0986,6.3,15.28,2.536,0.301,MBA,1997-01-13
104709 (2000 GO168),2.744,0.0052,6.48,15.55,3.918,0.087,MBA,2000-04-04
242113 (2002 VN95),3.098,0.2696,6.9,16.0,4.545,0.034,MBA,1997-11-23
384262 (2009 FP25),3.134,0.0262,17.53,16.1,3.378,0.062,MBA,2009-01-31
265880 (2006 AT7),2.736,0.1937,25.14,15.84,1.78,0.352,MBA,2000-12-05
       (2010 LU73),2.874,0.069,19.04,17.41,2.877,0.071,MBA,2010-06-10
 69833 (1998 RO76),3.045,0.115,11.21,14.74,4.221,0.109,MBA,1993-11-09
163890 (2003 SC199),2.769,0.069,4.39,15.47,4.556,0.078,MBA,1993-07-19
 25486 Michaelwham (1999 XF81),2.538,0.1619,6.04,15.1,2.373,0.497,MBA,1997-04-06
 53747 (2000 EQ57),2.29,0.1726,1.37,16.05,1.668,0.304,MBA,1998-10-19
170128 (2003 AN17),3.084,0.1254,13.06,15.06,5.382,0.067,MBA,1996-11-14
242817 (2006 BZ166),2.975,0.1337,10.58,15.59,2.675,0.187,MBA,1998-07-29
  4562 Poleungkuk (1979 UD2),2.472,0.1414,3.42,13.08,15.006,0.05,MBA,1955-06-23
206568 (2003 UX279),2.752,0.1618,8.68,16.25,4.016,0.044,MBA,2001-05-24
 38910 (2000 SA178),3.025,0.0746,10.07,14.18,5.487,0.194,MBA,1995-10-21
214666 (2006 SM130),2.599,0.108,8.14,16.11,2.092,0.193,MBA,2002-11-04
376026 (2010 BR46),3.13,0.2071,10.5,15.76,4.671,0.051,MBA,2002-11-01
248470 (2005 UM81),3.091,0.1241,6.6,15.29,3.335,0.159,MBA,1998-04-21
 33912 Melissanoland (2000 LV13),2.301,0.1768,6.75,14.55,2.854,0.313,MBA,1979-06-16
 83597 (2001 SU263),3.091,0.229,10.04,13.88,5.046,0.159,MBA,2000-05-06
 64750 (2001 XL156),2.389,0.1881,1.03,16.3,3.181,0.063,MBA,1992-03-25
 68669 (2002 CJ109),2.36,0.093,3.36,16.36,2.194,0.133,MBA,1995-04-06
 34414 MacLennan (2000 RQ103),3.081,0.1095,14.8,13.02,6.533,0.377,MBA,1996-12-07
104123 (2000 EY56),2.28,0.1256,3.19,16.08,1.482,0.385,MBA,1993-03-25
 11733 (1998 KJ52),3.159,0.0067,10.41,12.62,8.755,0.192,MBA,1977-09-09
318279 (2004 TF31),2.741,0.2449,8.32,16.29,3.758,0.05,MBA,1999-08-12
 66373 (1999 JW114),2.329,0.1147,6.35,15.16,2.158,0.456,MBA,1999-05-09
 47560 (2000 AD144),3.127,0.109,18.13,14.08,10.214,0.051,MBA,1998-12-19
223217 (2003 BO83),2.387,0.1713,1.97,17.38,1.297,0.126,MBA,2003-01-28
 76448 (2000 FD33),3.068,0.1889,17.07,14.24,4.151,0.31,MBA,2000-01-08
101423 (1998 VA19),2.531,0.1809,6.57,15.5,1.887,0.376,MBA,1998-06-27
   493 Griseldis (A902 RH),3.117,0.1779,15.17,10.96,41.55,0.081,MBA,1902-09-07
   860 Ursina (A917 BE),2.795,0.1087,13.3,10.07,34.561,0.116,MBA,1903-01-18
245624 (2005 WH182),3.181,0.1406,17.56,15.18,6.312,0.058,MBA,2003-05-26
       (2016 CK246),3.972,0.7295,12.64,21.75,0.094,0.347,AMO,2016-02-10
472132 (2014 BE43),2.593,0.0967,27.16,16.39,3.681,0.033,MBA,1999-09-07
 33109 (1998 AB2),2.541,0.0942,7.43,14.92,2.706,0.349,MBA,1992-12-16
195726 (2002 PY74),3.135,0.1677,4.58,14.93,5.157,0.096,MBA,1997-11-06
 73195 (2002 JQ10),2.328,0.0982,7.03,15.87,1.772,0.389,MBA,1991-03-09
 23547 Tognelli (1994 DG),2.762,0.1537,10.07,13.79,4.614,0.362,MBA,1978-11-01
 51294 (2000 KT30),2.555,0.2013,8.2,14.88,3.172,0.231,MBA,1997-12-04
266769 (2009 SG158),2.776,0.0864,3.56,16.69,3.006,0.045,MBA,2005-12-05
529689 (2010 JF146),2.426,0.244,8.47,17.73,1.75,0.069,MBA,2008-02-03
 75897 (2000 CL45),2.726,0.0235,12.23,14.64,8.756,0.053,MBA,1998-11-14
 31237 (1998 CY4),2.924,0.021,1.18,14.53,4.411,0.19,MBA,1993-03-25
  5456 Merman (1979 HH3),2.358,0.0506,7.03,13.53,4.22,0.626,MBA,1979-04-06
134978 (2001 FH40),2.542,0.1121,15.48,15.38,2.683,0.224,MBA,1993-03-22
 92432 (2000 JQ65),2.263,0.1942,7.49,16.55,1.358,0.348,MBA,1993-03-18
120774 (1998 DQ20),2.402,0.2475,4.56,15.19,2.843,0.316,MBA,1997-10-22
162282 (1999 VS69),2.619,0.0909,1.53,16.19,3.027,0.077,MBA,1999-10-10
 37940 (1998 HA4),2.544,0.1601,5.18,15.41,2.184,0.256,MBA,1992-11-26
194893 (2002 AX94),2.46,0.145,2.43,16.49,1.539,0.247,MBA,2001-12-18
268113 (2004 TG1),2.786,0.0874,4.76,16.1,3.709,0.061,MBA,2004-09-09
246223 (2007 RX204),3.247,0.0968,11.25,15.78,5.771,0.033,OMB,2001-10-19
   847 Agnia (A915 RP),2.782,0.0946,2.48,10.12,24.931,0.152,MBA,1906-10-08
210980 (2001 VP107),3.212,0.0958,9.99,15.67,5.545,0.052,OMB,2001-10-21
       (2010 MD60),3.058,0.0727,9.67,17.19,2.384,0.041,MBA,2010-06-24
 37110 (2000 UF103),3.061,0.1028,8.34,13.92,6.371,0.158,MBA,1997-04-03
242754 (2005 WD8),3.17,0.2375,21.0,15.33,4.387,0.11,MBA,1999-10-14
       (2015 FH395),3.232,0.1487,29.08,16.49,4.443,0.051,OMB,2009-04-19
 14833 Vilenius (1987 SP1),2.294,0.1789,5.29,14.59,3.057,0.361,MBA,1955-05-23
 39796 (1997 TD),2.251,0.4677,12.91,15.76,2.131,0.205,AMO,1987-05-10
 57954 (2002 JA101),3.358,0.2439,28.18,12.81,17.612,0.046,OMB,1949-11-23
 25294 Johnlaberee (1998 WA17),3.144,0.1041,1.64,14.09,7.323,0.109,MBA,1992-10-23
  2758 Cordelia (1978 RF),2.548,0.2794,2.79,14.03,10.209,0.056,MBA,1978-09-01
222345 (2000 WJ51),2.717,0.0632,6.03,16.56,2.925,0.047,MBA,1998-03-22
 81075 (2000 EM85),2.562,0.1969,9.47,15.15,2.82,0.168,MBA,1998-08-19
432513 (2010 FJ25),3.164,0.1722,16.28,16.16,3.685,0.033,MBA,2004-01-17
535917 (2015 BN431),3.113,0.0842,11.15,16.44,3.886,0.051,MBA,2001-08-24
196047 (2002 SS57),3.127,0.2338,16.1,15.21,6.657,0.053,MBA,2002-09-13
 72290 (2001 BQ15),2.656,0.0743,14.87,14.34,4.411,0.25,MBA,1998-07-31
149902 (2005 SR35),3.114,0.0783,9.87,15.23,4.314,0.095,MBA,2000-11-20
 80616 (2000 AV173),2.278,0.1595,7.48,15.89,1.849,0.297,MBA,1999-12-06
208846 (2002 RB177),2.763,0.0689,4.54,16.09,3.955,0.058,MBA,2000-03-03
217657 (1998 RF61),3.119,0.2805,18.66,14.91,6.314,0.049,MBA,1998-08-28
478987 (2012 XR120),2.591,0.3464,6.47,16.56,2.215,0.09,MBA,2009-02-04
275002 (2009 TK34),2.413,0.1484,5.92,17.65,2.082,0.041,MBA,2005-08-28
166679 (2002 TS109),2.804,0.1772,14.53,15.32,2.8,0.225,MBA,2001-04-24
241850 (2001 TH86),2.781,0.1246,3.52,16.34,3.067,0.075,MBA,2001-09-20
 71773 (2000 SO106),2.319,0.1363,9.68,15.17,3.268,0.218,MBA,1995-02-06
135235 (2001 RU150),3.132,0.0943,6.09,15.1,5.271,0.084,MBA,2001-09-11
 83700 (2001 TG73),3.012,0.0488,9.78,14.65,5.105,0.056,MBA,1999-05-12
  7615 (1996 TA11),2.407,0.2109,3.55,14.06,3.91,0.46,MBA,1981-09-28
 40560 (1999 RQ118),2.655,0.1083,4.59,14.75,7.519,0.06,MBA,1998-05-01
277826 (2006 HC10),2.92,0.1024,11.4,16.2,4.238,0.039,MBA,2003-10-05
265388 (2004 RZ323),2.895,0.1035,9.04,15.93,2.604,0.164,MBA,1999-10-13
 12596 Shukla (1999 RT154),2.355,0.1919,2.59,15.12,3.357,0.202,MBA,1977-06-13
159169 (2005 SP49),2.272,0.1488,2.94,17.45,1.924,0.052,MBA,2000-04-06
156266 (2001 VL35),2.533,0.2233,4.77,16.28,1.607,0.298,MBA,1999-04-09
104680 (2000 GK153),2.886,0.0848,15.57,14.73,6.972,0.063,MBA,1997-10-31
179531 (2002 CD198),3.114,0.1485,6.6,15.36,3.515,0.13,MBA,1993-08-18
 29207 (1991 RG2),2.26,0.1907,5.46,15.85,2.65,0.159,MBA,1991-09-06
 79489 (1998 FP34),3.204,0.1942,24.51,14.11,8.697,0.054,OMB,1994-10-09
122153 (2000 JO57),2.541,0.2381,6.76,15.2,3.472,0.193,MBA,2000-05-06
 28128 Cynthrossman (1998 ST118),2.276,0.0904,2.78,15.56,2.048,0.291,MBA,1991-10-02
 26804 (1981 EZ29),2.184,0.1632,4.28,16.1,1.671,0.303,MBA,1981-02-02
 11899 Weill (1991 GJ10),3.169,0.0293,9.81,13.19,13.062,0.079,MBA,1989-11-02
448809 (2011 UK7),2.676,0.0715,9.41,17.05,2.387,0.031,MBA,2002-10-10
 32919 (1995 CJ1),2.323,0.1895,4.24,14.33,3.676,0.36,MBA,1995-02-03
247390 (2001 YZ151),2.866,0.2146,7.32,16.18,2.971,0.105,MBA,2001-12-09
       (2010 KU101),3.161,0.0788,14.54,16.72,3.382,0.027,MBA,2010-05-28
425312 (2009 YY24),3.161,0.0425,10.38,15.88,4.082,0.056,MBA,2009-12-19
 11277 Ballard (1988 TW2),2.403,0.2389,22.79,13.24,6.298,0.222,MBA,1988-09-12
232525 (2003 SZ12),3.058,0.0761,9.72,15.81,4.878,0.039,MBA,2001-03-27
       (2010 GC150),2.662,0.0487,9.01,17.7,2.052,0.088,MBA,2010-04-14
142798 (2002 UT20),2.669,0.089,12.21,15.81,2.422,0.173,MBA,2002-10-03
405290 (2003 TC13),3.195,0.2286,16.76,15.48,2.946,0.203,MBA,2003-09-30
156293 (2001 WB59),5.266,0.0988,3.64,12.86,13.46,0.067,TJN,2000-09-26
 56980 (2000 SS177),3.216,0.1452,12.42,13.93,10.341,0.047,OMB,1998-04-30
335076 (2004 RV323),2.585,0.187,11.58,16.25,3.357,0.075,MBA,1994-02-16
202005 (2004 QZ13),2.278,0.1568,27.97,15.84,2.397,0.177,MBA,1999-01-07
 45090 (1999 XA49),2.642,0.2483,11.96,13.81,4.968,0.255,MBA,1998-08-24
 21281 (1996 TX14),2.288,0.1525,6.59,15.4,2.207,0.363,MBA,1996-10-13
207343 (2005 JG26),3.002,0.2165,8.17,15.85,4.264,0.047,MBA,2001-11-12
271320 (2003 WE12),3.189,0.1271,19.49,14.89,7.504,0.055,MBA,2003-09-27
239966 (2001 OW11),2.699,0.3018,7.3,16.21,1.616,0.355,MBA,2001-06-16
 32150 Crumpton (2000 LJ31),3.001,0.236,5.65,13.79,9.927,0.071,MBA,1979-07-24
228005 (2007 QR12),5.267,0.0207,6.62,13.18,12.326,0.073,TJN,1999-12-31
330788 (2008 UK75),4.019,0.1507,3.69,15.01,5.583,0.068,OMB,2002-01-12
169115 (2001 OC62),3.009,0.157,5.02,15.42,5.1,0.068,MBA,1994-03-07
       (2010 KZ15),3.184,0.0441,14.84,15.5,5.018,0.092,MBA,2005-09-02
211730 (2003 YR101),3.154,0.184,28.41,14.8,5.984,0.086,MBA,2001-05-24
 63209 (2001 AP11),2.302,0.1204,7.17,15.83,1.581,0.446,MBA,1998-03-04
143103 (2002 XK21),2.552,0.1357,4.3,15.59,2.109,0.301,MBA,1969-10-08
 16615 (1993 FW40),3.237,0.1462,2.16,14.4,6.967,0.11,OMB,1993-03-19
226990 (2004 XC59),3.185,0.1439,23.79,14.92,6.121,0.068,MBA,1998-12-15
       (2015 DW50),2.616,0.1672,12.45,18.43,1.613,0.098,MBA,2002-01-21
249505 (2010 AG6),2.761,0.171,6.91,16.22,3.692,0.052,MBA,2002-05-11
 15929 Ericlinton (1997 WQ11),3.169,0.1166,1.49,13.54,10.801,0.066,MBA,1977-02-19
220438 (2003 WD7),3.172,0.2628,25.86,14.95,6.652,0.053,MBA,2003-08-31
407139 (2009 TD2),3.055,0.2775,3.34,16.9,2.236,0.067,MBA,2000-02-04
 11781 Alexroberts (1966 PL),2.359,0.1231,7.31,14.15,3.783,0.409,MBA,1966-08-07
243186 (2007 TH230),3.202,0.1709,13.1,15.68,5.904,0.038,OMB,2001-10-16
214792 (2006 UT175),2.727,0.0277,8.19,15.94,4.03,0.057,MBA,2001-08-15
103108 (1999 XF177),2.672,0.2148,7.08,14.75,7.874,0.045,MBA,1981-10-24
188459 (2004 JR22),2.583,0.2768,10.89,15.95,3.28,0.086,MBA,2001-12-14
